PMCID	AccessionNb	Crea-Count	Crea-Proba	Back-Count	Back-Proba	Use-Count	Use-Proba	TOTAL	Sections
PMC5245825	E-MTAB-5029	1	0.9999846866821752	0	5.769151557617336e-10	0	1.5312740909589416e-05	1	
PMC5045879	E-MEXP-569	0	0.00024166660255837407	0	7.534220230551937e-07	1	0.9997575799754186	1	
PMC6113886	E-MEXP-51	2	1.5405501463652174	0	1.7691560098932466e-07	0	0.45944967671918163	2	['Article']
PMC6113886	GSE1749	1	0.9815929910223454	0	2.732573044010337e-07	0	0.01840673572035017	1	
PMC6113886	GSE41637	0	4.994432699340095e-05	0	3.675751832389525e-08	1	0.9999500189154882	1	
PMC4390339	E-MEXP-3908	1	0.9999775139123728	0	5.7982677037989055e-11	0	2.2486029644431672e-05	1	
PMC3457998	E-MEXP-3489	1	0.9999999999528352	0	2.1253239516056622e-18	0	4.716465363400536e-11	1	
PMC2906512	E-MEXP-2248	1	0.7924407537926814	0	2.860038884797843e-09	0	0.2075592433472798	1	
PMC5903418	E-MTAB-4840	1	0.9999952329823716	0	1.7561527529058174e-07	0	4.591402352900188e-06	1	
PMC4041004	E-MTAB-1664	2	1.9999999949154434	0	5.944571767295203e-13	0	5.083962174926427e-09	2	['Article', 'Methods']
PMC4041004	E-MTAB-2482	1	0.9999999920255646	0	1.2649147119210903e-15	0	7.974434082687704e-09	1	
PMC4267534	E-MEXP-3855	1	0.999999999999878	0	1.2127710437245022e-13	0	7.059366207397423e-16	1	
PMC4267534	BC033459	0	1.918947015792741e-08	0	2.0713928764972282e-08	1	0.999999960096601	1	
PMC4267534	BC023267	0	0.00012606833256474748	0	1.2213089521109238e-07	1	0.99987380953654	1	
PMC5356570	E-MTAB-4403	1	0.9999999933621124	0	1.543055197503916e-14	0	6.637872280530258e-09	1	
PMC5356570	AY039682	0	3.487200365512972e-08	0	0.001566758431732594	1	0.9984332066962638	1	
PMC5983642	E-GEOD-52009	0	1.5282894058388934e-08	0	3.797036230603185e-09	1	0.9999999809200696	1	
PMC5983642	E-GEOD-4536	0	5.5791402515511765e-08	0	1.0543296618120104e-07	1	0.9999998387756311	1	
PMC5983642	GSE4290	0	8.647774967113086e-07	0	1.682764564726243e-10	2	1.9999991350542266	2	['Results']
PMC5660459	E-MTAB-5836	2	1.999999913793728	0	2.0017216955246522e-12	0	8.620427024747866e-08	2	['Methods', 'Acknowledgments']
PMC5660459	E-MTAB-2464	2	1.9997593137310545	0	3.952598037898246e-09	0	0.00024068231634745782	2	['Methods', 'Acknowledgments']
PMC6437638	PRJEB26534	1	1.0	0	3.083256920820228e-23	0	2.63657249455943e-18	1	
PMC4961713	PRJNA314013	1	1.0	0	1.6267225519182358e-22	0	4.9594563529236066e-18	1	
PMC5630949	PRJNA279783	2	1.999999773497123	0	7.987480188544278e-09	0	2.1851539648159768e-07	2	['Article']
PMC5630949	2LG4	0	5.644809712752894e-11	0	9.747730659573262e-07	2	1.999999025170486	2	['Results']
PMC5630949	1F94	0	1.0850286863424792e-10	0	7.633894634876093e-10	1	0.9999999991281076	1	
PMC5630949	PF01549	0	4.158962965776847e-08	0	0.001346166796409443	1	0.9986537916139611	1	
